Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\pocs.geza\Desktop\Udacity\RoboND-Rover-Project\recorded_dataset\IMG\robocam_2018_01_24_15_53_19_339.jpg;0;1;0;0.2499565;99.76514;85.66965;1.215043;47.28361;359.9732
C:\Users\pocs.geza\Desktop\Udacity\RoboND-Rover-Project\recorded_dataset\IMG\robocam_2018_01_24_15_53_19_387.jpg;0;1;0;0.2983344;99.77511;85.68111;1.334692;47.2314;-0.004791611
C:\Users\pocs.geza\Desktop\Udacity\RoboND-Rover-Project\recorded_dataset\IMG\robocam_2018_01_24_15_53_19_437.jpg;0;1;0;0.3306858;99.78445;85.6908;1.288624;47.27539;-0.003753952
C:\Users\pocs.geza\Desktop\Udacity\RoboND-Rover-Project\recorded_dataset\IMG\robocam_2018_01_24_15_53_19_484.jpg;0;1;0;0.3662362;99.80013;85.70761;1.164422;47.15755;0.0003712281
C:\Users\pocs.geza\Desktop\Udacity\RoboND-Rover-Project\recorded_dataset\IMG\robocam_2018_01_24_15_53_19_532.jpg;0;1;0;0.4464466;99.81247;85.72078;1.124715;47.08236;0.0005516975
C:\Users\pocs.geza\Desktop\Udacity\RoboND-Rover-Project\recorded_dataset\IMG\robocam_2018_01_24_15_53_19_579.jpg;0;1;0;0.482344;99.82594;85.73515;1.110446;46.99972;-6.062931E-05
C:\Users\pocs.geza\Desktop\Udacity\RoboND-Rover-Project\recorded_dataset\IMG\robocam_2018_01_24_15_53_19_625.jpg;0;1;0;0.5025834;99.84824;85.75892;1.13163;46.96831;-0.0002211171
C:\Users\pocs.geza\Desktop\Udacity\RoboND-Rover-Project\recorded_dataset\IMG\robocam_2018_01_24_15_53_19_673.jpg;0;1;0;0.5530941;99.86432;85.77612;1.167125;47.07981;-0.0008467989
C:\Users\pocs.geza\Desktop\Udacity\RoboND-Rover-Project\recorded_dataset\IMG\robocam_2018_01_24_15_53_19_721.jpg;0;1;0;0.5840406;99.8899;85.80339;1.222312;47.06752;-5.291932E-05
C:\Users\pocs.geza\Desktop\Udacity\RoboND-Rover-Project\recorded_dataset\IMG\robocam_2018_01_24_15_53_19_770.jpg;0;1;0;0.6276945;99.90766;85.82236;1.236046;47.04227;-0.0004799057
C:\Users\pocs.geza\Desktop\Udacity\RoboND-Rover-Project\recorded_dataset\IMG\robocam_2018_01_24_15_53_19_819.jpg;2.949923;1;0;0.6533872;99.93555;85.85326;1.241405;47.23098;-0.001672402
C:\Users\pocs.geza\Desktop\Udacity\RoboND-Rover-Project\recorded_dataset\IMG\robocam_2018_01_24_15_53_19_867.jpg;5.80318;1;0;0.7108616;99.95457;85.87527;1.227975;47.46589;-0.002588276
C:\Users\pocs.geza\Desktop\Udacity\RoboND-Rover-Project\recorded_dataset\IMG\robocam_2018_01_24_15_53_19_913.jpg;2.850483;1;0;0.7424998;99.97463;85.89815;1.210079;47.57978;-0.002268876
C:\Users\pocs.geza\Desktop\Udacity\RoboND-Rover-Project\recorded_dataset\IMG\robocam_2018_01_24_15_53_19_961.jpg;0.09450585;1;0;0.7710136;100.0071;85.93393;1.189086;47.64631;-0.0003707243
C:\Users\pocs.geza\Desktop\Udacity\RoboND-Rover-Project\recorded_dataset\IMG\robocam_2018_01_24_15_53_20_009.jpg;2.985241;1;0;0.8229635;100.0299;85.95956;1.199948;47.79651;-0.0004429922
C:\Users\pocs.geza\Desktop\Udacity\RoboND-Rover-Project\recorded_dataset\IMG\robocam_2018_01_24_15_53_20_057.jpg;0.1220794;1;0;0.8628376;100.054;85.98623;1.218086;47.83007;-0.001431888
C:\Users\pocs.geza\Desktop\Udacity\RoboND-Rover-Project\recorded_dataset\IMG\robocam_2018_01_24_15_53_20_105.jpg;0;1;0;0.8976213;100.0917;86.02759;1.229071;47.77024;-0.0005296483
C:\Users\pocs.geza\Desktop\Udacity\RoboND-Rover-Project\recorded_dataset\IMG\robocam_2018_01_24_15_53_20_153.jpg;0;1;0;0.9481092;100.118;86.05637;1.232641;47.76363;-0.0007261157
